longtitude,latitude,nazev,vykon,datum,datum2
16.4071614550488,49.9560126432942,"FVE - Kotelna Poříční 562 03 Ústí nad Orlicí, Poříční 453, okres Ústí nad Orlicí, kraj Pardubický",0.013,2005-01-17,2019-11-30
16.4068579108064,49.9722549060058,"FVE - Kotelna Mazánkova 562 06 Ústí nad Orlicí, Mazánkova 75, okres Ústí nad Orlicí, kraj Pardubický",0.022,2005-01-17,2019-11-30
16.3881311691498,49.9766684917241,"FVE - Královéhradecká 1. - sídlo KS 562 01 Ústí nad Orlicí, Královéhradecká, okres Ústí nad Orlicí, kraj Pardubický",0.03,2005-01-17,2019-11-30
16.3897439891133,49.9771503868123,"FVE - Královéhradecká 2. - hala u řeky 562 01 Ústí nad Orlicí, Královéhradecká, okres Ústí nad Orlicí, kraj Pardubický",0.02,2005-01-17,2019-11-30
16.3894032055,49.9767978067292,"FVE - Královéhradecká 3. - dílna KS 562 01 Ústí nad Orlicí, Královéhradecká, okres Ústí nad Orlicí, kraj Pardubický",0.015,2005-01-17,2019-11-30
16.389307686049,49.9766225329931,"FVE - Královéhradecká 4. - bývalá Koventa 562 01 Ústí nad Orlicí, Královéhradecká, okres Ústí nad Orlicí, kraj Pardubický",0.016,2005-01-17,2019-11-30
12.669227205521,50.190142153854,"Fotovoltaická elektrárna Rozvodna Marie 356 01 Královské Poříčí, Královské Poříčí, okres Sokolov, kraj Karlovarský",0.077,2005-07-21,2019-11-30
12.689077604885,50.1919083137601,"Fotovoltaická elektrárna Rozvodna Jehličná 356 01 Královské Poříčí, Královské Poříčí, okres Sokolov, kraj Karlovarský",0.043,2005-07-21,2019-11-30
12.7219983536759,50.2008790658063,"Fotovoltaická elektrárna Rozvodna Pískovec 357 34 Nové Sedlo, Nové Sedlo, okres Sokolov, kraj Karlovarský",0.032,2005-07-21,2019-11-30
15.5425736404614,49.613495417318,"Solární elektrárna Perknov 580 01 Havlíčkův Brod, Okrouhlická 3288, okres Havlíčkův Brod, kraj Vysočina",0.533,2005-07-08,2019-11-30
15.0792103179372,49.7216170563061,"Solární elektrárna Hulice 257 63 Hulice, Hulice 112, okres Benešov, kraj Středočeský",0.073,2005-07-08,2019-11-30
15.5979628033263,49.6067372062488,"FVE Technické zázemí 580 01 Havlíčkův Brod, Žižkova, okres Havlíčkův Brod, kraj Vysočina",0.022,2005-07-08,2019-11-30
15.597916933511,49.6068258830507,"FVE Technické zázemí 580 01 Havlíčkův Brod, Žižkova, okres Havlíčkův Brod, kraj Vysočina",0.022,2005-07-08,2019-11-30
15.5981217152316,49.6064452323257,"FVE správní budova 580 01 Havlíčkův Brod, Žižkova 832, okres Havlíčkův Brod, kraj Vysočina",0.027,2005-07-08,2019-11-30
15.598507521193,49.6070343475009,"FVE administrativa 580 01 Havlíčkův Brod, Havlíčkův Brod, okres Havlíčkův Brod, kraj Vysočina",0.023,2005-07-08,2019-11-30
15.2660215015275,49.6999067847227,"FVE Ledeč 584 01 Ledeč nad Sázavou, Ledeč nad Sázavou, okres Havlíčkův Brod, kraj Vysočina",0.029,2005-07-08,2019-11-30
16.48501356102,50.0517835750699,"Sluneční elektrárna Lukavice v Čechách 561 51 Lukavice, Lukavice 10, okres Ústí nad Orlicí, kraj Pardubický",0.001,2005-07-13,2019-11-30
15.8961611122113,49.207807731309,"FOTOVOLTAICKÁ ELEKTRÁRNA 674 01 Třebíč, Průmyslová 206, okres Třebíč, kraj Vysočina",0.04,2005-06-09,2019-11-30
14.4651007427698,50.014324388286,"FVE 140 00 Praha, Vídeňská 1083, kraj Hlavní město Praha",0.027,2005-09-09,2019-11-30
18.1477273663209,49.8490841766292,"Globus Ostrava, Plesná 725 27 Ostrava, Ostrava 344, okres Ostrava-město, kraj Moravskoslezský",0.028,2005-09-09,2019-11-30
16.5755355358151,49.2243269825984,"FVS 20 kWp Technická B3 616 00 Brno, Technická 8, okres Brno-město, kraj Jihomoravský",0.02,2006-01-28,2019-11-30
16.5949734685642,49.2266685219885,"Fotovoltaika Božetěchova 1 612 00 Brno, Božetěchova 2, okres Brno-město, kraj Jihomoravský",0.014,2006-01-28,2019-11-30
16.57703124199,49.2243615506225,"Fotovoltaika Technická 2896/2 616 69 Brno, Technická 2896/2, okres Brno-město, kraj Jihomoravský",0.043,2006-01-28,2019-11-30
13.1197987225665,49.6335481733138,"FTV Hradec u Stoda 332 11 Hradec, Hradec 30, okres Plzeň-jih, kraj Plzeňský",0.04,2006-04-01,2019-11-30
16.0807966493378,48.8385778729455,"FVE BENDA 671 81 Znojmo, Znojmo 438, okres Znojmo, kraj Jihomoravský",0.03,2006-03-18,2019-11-30
16.0614999851582,48.8591900152652,"FVE BENDA, ZNOJMO - HÁLKOVA 1160/18 669 02 Znojmo, Hálkova 1160/18, okres Znojmo, kraj Jihomoravský",0.029,2006-03-18,2019-11-30
17.7219844930004,49.7559083276376,"FVE Zámecký dvůr č.p. 61 747 47 Vítkov, Vítkov 61, okres Opava, kraj Moravskoslezský",0.02,2006-04-10,2019-11-30
17.724601841895,49.7558099773859,"FVE - 2 747 47 Vítkov, Vítkov, okres Opava, kraj Moravskoslezský",0.006,2006-04-10,2019-11-30
14.4519127190563,48.9422263200203,"Slunečnice 370 01 Planá, Planá 67, okres České Budějovice, kraj Jihočeský",0.008,2006-04-19,2019-11-30
14.4520629992279,48.941610194443,"FVE Terms 370 01 Planá, Planá, okres České Budějovice, kraj Jihočeský",0.03,2006-04-19,2019-11-30
